loc,value,label
32,0.778,Cancer
73,0.8,Cancer
87,0.662,Cancer
448,0.789,Cancer
504,0.779,Cancer
32,0.772,Cancer
73,0.786,Cancer
87,0.66,Cancer
448,0.807,Cancer
504,0.828,Cancer
32,0.559,Cancer
73,0.585,Cancer
87,0.4,Cancer
448,0.637,Cancer
504,0.688,Cancer
32,0.403,Cancer
73,0.49,Cancer
87,0.354,Cancer
448,0.568,Cancer
504,0.529,Cancer
32,0.652,Cancer
73,0.656,Cancer
87,0.365,Cancer
448,0.348,Cancer
504,0.364,Cancer
32,0.681,Cancer
73,0.758,Cancer
87,0.553,Cancer
448,0.753,Cancer
504,0.774,Cancer
32,0.537,Cancer
73,0.467,Cancer
87,0.342,Cancer
448,0.481,Cancer
504,0.376,Cancer
32,0.84,Cancer
73,0.792,Cancer
87,0.7,Cancer
448,0.81,Cancer
504,0.707,Cancer
32,0.502,Cancer
73,0.549,Cancer
87,0.438,Cancer
448,0.577,Cancer
504,0.472,Cancer
32,0.732,Cancer
73,0.771,Cancer
87,0.618,Cancer
448,0.755,Cancer
504,0.76,Cancer
32,0.71,Cancer
73,0.777,Cancer
87,0.605,Cancer
448,0.652,Cancer
504,0.521,Cancer
32,0.441,Cancer
73,0.519,Cancer
87,0.416,Cancer
448,0.513,Cancer
504,0.49,Cancer
32,0.752,Cancer
73,0.791,Cancer
87,0.609,Cancer
448,0.871,Cancer
504,0.862,Cancer
32,0.462,Cancer
73,0.549,Cancer
87,0.405,Cancer
448,0.467,Cancer
504,0.336,Cancer
32,0.536,Cancer
73,0.613,Cancer
87,0.475,Cancer
448,0.589,Cancer
504,0.586,Cancer
32,0.786,Cancer
73,0.779,Cancer
87,0.541,Cancer
448,0.642,Cancer
504,0.834,Cancer
32,0.699,Cancer
73,0.792,Cancer
87,0.692,Cancer
448,0.776,Cancer
504,0.662,Cancer
32,0.767,Cancer
73,0.765,Cancer
87,0.655,Cancer
448,0.861,Cancer
504,0.842,Cancer
32,0.677,Cancer
73,0.677,Cancer
87,0.535,Cancer
448,0.687,Cancer
504,0.662,Cancer
32,0.842,Cancer
73,0.862,Cancer
87,0.726,Cancer
448,0.943,Cancer
504,0.933,Cancer
32,0.851,Normal
73,0.829,Normal
87,0.719,Normal
448,0.878,Normal
504,0.874,Normal
32,0.434,Normal
73,0.419,Normal
87,0.377,Normal
448,0.431,Normal
504,0.272,Normal
32,0.828,Normal
73,0.821,Normal
87,0.625,Normal
448,0.905,Normal
504,0.921,Normal
32,0.759,Normal
73,0.759,Normal
87,0.597,Normal
448,0.681,Normal
504,0.708,Normal
32,0.667,Normal
73,0.703,Normal
87,0.442,Normal
448,0.602,Normal
504,0.654,Normal
32,0.484,Normal
73,0.545,Normal
87,0.373,Normal
448,0.465,Normal
504,0.293,Normal
32,0.736,Normal
73,0.795,Normal
87,0.677,Normal
448,0.815,Normal
504,0.883,Normal
32,0.633,Normal
73,0.727,Normal
87,0.532,Normal
448,0.719,Normal
504,0.666,Normal
32,0.365,Normal
73,0.469,Normal
87,0.367,Normal
448,0.447,Normal
504,0.38,Normal
32,0.84,Normal
73,0.875,Normal
87,0.684,Normal
448,0.912,Normal
504,0.889,Normal
32,0.466,Normal
73,0.509,Normal
87,0.406,Normal
448,0.536,Normal
504,0.382,Normal
32,0.704,Normal
73,0.744,Normal
87,0.602,Normal
448,0.723,Normal
504,0.686,Normal
32,0.787,Normal
73,0.826,Normal
87,0.689,Normal
448,0.803,Normal
504,0.821,Normal
32,0.697,Normal
73,0.738,Normal
87,0.518,Normal
448,0.699,Normal
504,0.765,Normal
32,0.772,Normal
73,0.815,Normal
87,0.675,Normal
448,0.872,Normal
504,0.866,Normal
32,0.596,Normal
73,0.68,Normal
87,0.5,Normal
448,0.609,Normal
504,0.481,Normal
32,0.427,Normal
73,0.5,Normal
87,0.366,Normal
448,0.478,Normal
504,0.383,Normal
32,0.684,Normal
73,0.723,Normal
87,0.533,Normal
448,0.698,Normal
504,0.823,Normal
32,0.667,Normal
73,0.719,Normal
87,0.565,Normal
448,0.865,Normal
504,0.886,Normal
32,0.829,Normal
73,0.832,Normal
87,0.766,Normal
448,0.945,Normal
504,0.959,Normal
