Lasso,ENet,SGLasso,DMP,CDReg
CASZ1,CASZ1,SAMD11,WDR8,FLJ22536
VPS13D,VPS13D,SAMD11,EPHA10,FLJ22536
RGS12,AGAP1,SAMD11,DMRTA2,EGFR
RNF39,RGS12,SAMD11,OTX1,EGFR
EGFL8,RNF39,SAMD11,OTX1,EGFR
UNC84A,EGFL8,AGRN,OTX1,EGFR
MAD1L1,UNC84A,AGRN,HOXD9,EGFR
MAD1L1,MAD1L1,AGRN,ZIC4,EGFR
ESYT2,MAD1L1,AGRN,CRMP1,EGFR
EIF2C2,ESYT2,AGRN,COL23A1,KCNQ1DN
NEURL,EIF2C2,AGRN,GRM6,KCNA1
GRIA4,GRIA4,C1orf159,PHACTR1,KCNA1
NCOR2,NCOR2,TTLL10,TRIM15,KCNA1
NCOR2,RAD51L1,TAS1R3,TFAP2B,KCNA1
RAD51L1,PACS2,TAS1R3,SIM1,KCNA1
PACS2,CYFIP1,TAS1R3,FOXK1,KCNA1
CYFIP1,IFT140,TAS1R3,HOXA9,KCNA1
IFT140,TSC2,NADK,HOXA10,KCNA1
TSC2,RAI1,KIAA1751,DPP6,KCNA1
RAI1,MSI2,KIAA1751,BCAT1,KCNA1
MSI2,TBX4,SKI,PAX9,KCNA1
TBX4,SEPT9,CASZ1,LHX1,KCNJ12
SEPT9,CCDC40,RGS12,LHX1,KCNJ12
CCDC40,BAIAP2,MAD1L1,WNT3,KCNJ12
BAIAP2,RUNX1,LHX1,GALR1,KCNJ12
