Lasso,ENet,SGLasso,Pclogit,CDReg w/o S,CDReg w/o C,CDReg,data,metric
0.935333333,0.935333333,0.937666667,0.939,0.940333333,0.928333333,0.941666667,covGau_de1_b0.5,acc
0.937,0.937,0.936333333,0.938333333,0.934333333,0.937,0.939666667,covGau_de1_b0.5,acc
0.934,0.934666667,0.936666667,0.936666667,0.929,0.935666667,0.941666667,covGau_de1_b0.5,acc
0.941333333,0.941333333,0.938666667,0.942,0.937333333,0.933,0.943,covGau_de1_b0.5,acc
0.932666667,0.934333333,0.938666667,0.934666667,0.936,0.939,0.941333333,covGau_de1_b0.5,acc
0.934,0.934,0.934333333,0.936,0.936666667,0.931666667,0.938333333,covGau_de1_b0.5,acc
0.937,0.937,0.938,0.94,0.938333333,0.924666667,0.940333333,covGau_de1_b0.5,acc
0.931666667,0.932333333,0.937666667,0.933666667,0.937,0.934,0.939666667,covGau_de1_b0.5,acc
0.940333333,0.940333333,0.937666667,0.94,0.936333333,0.94,0.942,covGau_de1_b0.5,acc
0.939,0.938333333,0.928666667,0.939666667,0.935666667,0.933,0.942333333,covGau_de1_b0.5,acc
0.603282112,0.598157998,0.644966509,0.62409279,0.54394602,0.560074862,0.660078802,covGau_de1_b0.5,AUROC
0.611425335,0.622962963,0.655473798,0.629225768,0.581695232,0.60767041,0.656719858,covGau_de1_b0.5,AUROC
0.61321907,0.606505122,0.650066982,0.615738771,0.494060284,0.579853231,0.650301418,covGau_de1_b0.5,AUROC
0.587614263,0.58785658,0.635055162,0.603731284,0.586995666,0.578506698,0.644824665,covGau_de1_b0.5,AUROC
0.591105201,0.593119582,0.619961584,0.615855989,0.575392041,0.58679275,0.624678881,covGau_de1_b0.5,AUROC
0.569434594,0.570068952,0.633150118,0.58607762,0.607267533,0.550929866,0.655856974,covGau_de1_b0.5,AUROC
0.559943853,0.56571513,0.613216115,0.595517139,0.556520883,0.483682033,0.622641844,covGau_de1_b0.5,AUROC
0.61177896,0.621535658,0.644460205,0.606998621,0.483129433,0.617068558,0.661360323,covGau_de1_b0.5,AUROC
0.606603625,0.611633176,0.673656422,0.632356186,0.615331954,0.589794129,0.677279354,covGau_de1_b0.5,AUROC
0.618472222,0.618257486,0.669310481,0.631891253,0.529698582,0.553384555,0.677356186,covGau_de1_b0.5,AUROC
0.135346869,0.132064924,0.147899562,0.183595471,0.131620756,0.085502934,0.177191483,covGau_de1_b0.5,AUPRC
0.127982175,0.132450523,0.13232467,0.16886435,0.148171735,0.143321117,0.198526156,covGau_de1_b0.5,AUPRC
0.15047322,0.14880674,0.144269548,0.173355633,0.058168295,0.089732044,0.202647728,covGau_de1_b0.5,AUPRC
0.164434438,0.162880996,0.150490272,0.188475728,0.155537979,0.088662462,0.26814787,covGau_de1_b0.5,AUPRC
0.130756299,0.127730852,0.143630228,0.16064426,0.099939267,0.153363952,0.215506508,covGau_de1_b0.5,AUPRC
0.115659927,0.114857655,0.110610714,0.138499145,0.154679571,0.080450205,0.144272404,covGau_de1_b0.5,AUPRC
0.105198842,0.106530694,0.10223194,0.1544232,0.097026489,0.056322328,0.14929053,covGau_de1_b0.5,AUPRC
0.114746388,0.117846703,0.119412411,0.136600646,0.056138112,0.103654972,0.27652766,covGau_de1_b0.5,AUPRC
0.153705886,0.155686111,0.16366251,0.197790972,0.114286743,0.176623925,0.21174445,covGau_de1_b0.5,AUPRC
0.139146809,0.137133134,0.139196656,0.193950496,0.101731192,0.084962598,0.288173583,covGau_de1_b0.5,AUPRC
