data_seed,method,AUROC,AUPRC,acc,BAcc,indi,isol,data
2000,Lasso,0.6032821118991332,0.1353468685645729,0.9353333333333332,0.5287234042553192,0.088785620247044,0.048741046939716,covGau_de1_b0.5
2000,ENet,0.5981579984239559,0.1320649242446732,0.9353333333333332,0.5313238770685579,0.0909736430238217,0.0518738091687055,covGau_de1_b0.5
2000,SGLasso,0.6449665090622537,0.1478995619402326,0.9376666666666666,0.5195626477541371,0.0875368577962247,0.0630353010216506,covGau_de1_b0.5
2000,Pclogit,0.6240927895981088,0.1835954711990531,0.939,0.5358747044917258,0.0900530981581364,0.0445979600516472,covGau_de1_b0.5
2000,CDReg w/o S,0.5439460204885735,0.131620756310112,0.9403333333333334,0.5209810874704491,0.0099202933090007,0.0312487702280652,covGau_de1_b0.5
2000,CDReg w/o C,0.5600748620961387,0.085502933607956,0.9283333333333332,0.4989952718676123,0.0547069910898558,0.0301123458595893,covGau_de1_b0.5
2000,CDReg,0.6600788022064618,0.177191483473884,0.9416666666666668,0.5398936170212766,0.0048801011416881,0.0253813881208646,covGau_de1_b0.5
2001,Lasso,0.6114253349093774,0.1279821749339153,0.937,0.5036052009456264,0.0637054395099331,0.0198761165853181,covGau_de1_b0.5
2001,ENet,0.6229629629629628,0.1324505233545803,0.937,0.5036052009456264,0.0653142747322005,0.0203433267465668,covGau_de1_b0.5
2001,SGLasso,0.6554737982663514,0.1323246699834657,0.9363333333333334,0.5240543735224586,0.0905233621955051,0.0514194917608472,covGau_de1_b0.5
2001,Pclogit,0.6292257683215131,0.1688643495766068,0.9383333333333334,0.5277186761229314,0.0902722265343121,0.0122710845241612,covGau_de1_b0.5
2001,CDReg w/o S,0.581695232466509,0.1481717347126526,0.9343333333333332,0.5411938534278959,0.0476122501225203,0.0134507036223208,covGau_de1_b0.5
2001,CDReg w/o C,0.6076704097714737,0.1433211170679257,0.937,0.5244089834515366,0.0574103250097513,0.0087690611896453,covGau_de1_b0.5
2001,CDReg,0.6567198581560283,0.1985261557720285,0.9396666666666668,0.5362293144208038,0.0,0.0065345679299957,covGau_de1_b0.5
2003,Lasso,0.6132190701339637,0.1504732195996432,0.934,0.5358156028368795,0.0275119403878192,0.0729525174556312,covGau_de1_b0.5
2003,ENet,0.60650512214342,0.1488067396353249,0.9346666666666666,0.5387706855791962,0.0291618237214373,0.0743398441933919,covGau_de1_b0.5
2003,SGLasso,0.6500669818754925,0.1442695484765743,0.9366666666666666,0.5268321513002364,0.0366277403581389,0.0557911231567136,covGau_de1_b0.5
2003,Pclogit,0.6157387706855791,0.17335563295694,0.9366666666666666,0.5346335697399527,0.0303043808055523,0.0668733572524041,covGau_de1_b0.5
2003,CDReg w/o S,0.4940602836879433,0.0581682953950033,0.929,0.4993498817966902,0.0720071607180056,0.07184784982273,covGau_de1_b0.5
