,Lasso,ENet,SGLasso,Pclogit,CDReg w/o S,CDReg w/o C,CDReg,data,metric
mean,0.597287924,0.599581265,0.643931738,0.614148542,0.557403763,0.570775709,0.653109831,Gau,AUROC
std,0.018807813,0.019416044,0.018474043,0.015075555,0.042555781,0.035582002,0.01767036,Gau,AUROC
Ttest,6.62E-07,1.49E-06,0.001549225,2.00E-05,8.50E-05,1.76E-05,0,Gau,AUROC
mean,0.133745085,0.133598833,0.135372851,0.16961999,0.111730014,0.106259654,0.213202837,Gau,AUPRC
std,0.017879878,0.017202369,0.018229721,0.020787609,0.034508678,0.036300654,0.048079992,Gau,AUPRC
Ttest,0.000189469,0.000179347,0.000256576,0.009341935,0.00066625,0.000136701,0,Gau,AUPRC
mean,0.936233333,0.936466667,0.936433333,0.938,0.9361,0.933633333,0.941,Gau,acc
std,0.003098566,0.002737395,0.002859876,0.002521023,0.002816815,0.004450843,0.001374369,Gau,acc
Ttest,0.000160325,6.15E-05,0.000963078,0.000870812,0.000633842,0.000378607,0,Gau,acc
mean,0.518280142,0.519184397,0.518126478,0.525200946,0.511447991,0.508055556,0.539539007,Gau,BAcc
std,0.010352682,0.011015546,0.009098586,0.007992729,0.013816623,0.013646393,0.011240414,Gau,BAcc
Ttest,0.001322231,0.001758568,0.000877429,0.005691485,0.00114355,0.00029239,0,Gau,BAcc
mean,0.045110036,0.046032108,0.051523696,0.04432228,0.033349342,0.053172447,0.006836814,Gau,indi
std,0.02041045,0.020648024,0.025634516,0.024191342,0.023028032,0.022086865,0.008937635,Gau,indi
Ttest,0.000412393,0.000359958,0.000231338,0.001090078,0.00109438,2.78E-05,0,Gau,indi
mean,0.044223407,0.045105262,0.055191997,0.038152915,0.033404804,0.026294878,0.017676469,Gau,isol
std,0.015930295,0.01637007,0.011594113,0.017152669,0.017565384,0.012210745,0.010144393,Gau,isol
Ttest,0.000122138,0.000112392,1.75E-07,0.000313302,0.004148764,0.004336739,0,Gau,isol
mean,0.6177434,0.619633964,0.665300039,0.636476261,0.574712076,0.594381107,0.686839736,Lap2,AUROC
std,0.010450848,0.010842486,0.017442801,0.007876776,0.038093093,0.051993964,0.022381352,Lap2,AUROC
Ttest,5.61E-06,6.11E-06,0.001118642,5.13E-06,7.38E-06,0.000533914,0,Lap2,AUROC
mean,0.151474801,0.15186019,0.152703371,0.205529237,0.117057183,0.129656978,0.260360875,Lap2,AUPRC
std,0.02215119,0.021687092,0.012612822,0.023196619,0.034202211,0.031964239,0.067177052,Lap2,AUPRC
Ttest,0.000191363,0.000199235,0.000412271,0.007336486,0.000379559,0.000279555,0,Lap2,AUPRC
mean,0.9367,0.9365,0.936,0.939133333,0.9369,0.935366667,0.941866667,Lap2,acc
std,0.003219558,0.003177176,0.002695676,0.001978776,0.002226357,0.003908538,0.002587148,Lap2,acc
Ttest,0.000101172,7.94E-05,0.000105148,0.000272495,0.002105044,0.002536121,0,Lap2,acc
mean,0.527109929,0.527003546,0.523617021,0.527364066,0.509533097,0.530561466,0.543120567,Lap2,BAcc
std,0.010826031,0.011363927,0.011158486,0.008284568,0.009022833,0.011503054,0.020105914,Lap2,BAcc
Ttest,0.045921876,0.047001234,0.020682461,0.047640835,0.000606245,0.062926479,0,Lap2,BAcc
mean,0.053274187,0.053859228,0.062110567,0.04320053,0.018833785,0.040041689,0.007859227,Lap2,indi
std,0.019118762,0.019358135,0.017054469,0.017809731,0.014621873,0.020778874,0.013090552,Lap2,indi
Ttest,7.33E-05,6.60E-05,6.84E-06,0.00016269,0.005770038,0.001029268,0,Lap2,indi
mean,0.056318981,0.057222531,0.062813247,0.040331905,0.033982922,0.026203434,0.021712033,Lap2,isol
std,0.011355223,0.010645644,0.011854646,0.015732695,0.012161747,0.007840124,0.007984044,Lap2,isol
Ttest,3.20E-08,1.02E-08,1.32E-05,0.001969603,0.010330453,0.004522639,0,Lap2,isol
