fea_ind,fea_name,group,CHR,MAPINFO,gene_set,Lasso,ENet,SGLasso,SGLasso_rank,Pclogit,CDReg,CDReg_rank,diff_loc
0,cg07787977,0.0,1,962651.0,AGRN,0.0,0.0,0.7387953279108145,8,0.0,1.0,1,1236
1,cg07396477,0.0,1,963887.0,AGRN,0.0,0.0,0.3713801559244387,77,0.0,0.9877785095748525,2,4080
2,cg02341264,0.0,1,967967.0,AGRN,0.0,0.0,0.5176192073293625,24,0.0,0.8845155510581884,3,1287
3,cg16318112,0.0,1,969254.0,AGRN,0.0,0.0,0.8110759133635148,5,0.0,0.8717208064292113,4,9319
4,cg02138082,0.0,1,978573.0,AGRN,0.07959905345208984,0.05741349067161076,0.5137796259152821,27,0.05710164532716167,0.2851655487801217,5,484
6,cg16632098,1.0,1,1019524.0,C1orf159,0.0,0.0,0.4552726752425483,42,0.0,0.2594212759854305,6,9261
5,cg24934837,0.0,1,979057.0,AGRN,0.0,0.0,0.4454201295595243,45,0.0,0.2239222582009969,7,40467
7,cg06444226,1.0,1,1028785.0,C1orf159,0.0,0.0,0.7531848030327196,6,0.0,0.2123983169217362,8,17301
8180,cg05837401,907.0,3,125899086.0,ALDH1L1,0.0,0.0,0.0,3382,0.0,0.0891957758199122,9,792
27684,cg00804338,2938.0,13,114239234.0,TFDP1,0.0,0.0,0.0,3382,0.0,0.08685159012358738,10,724
6112,cg23243277,688.0,2,219856323.0,CRYBA2,0.01746171267514565,0.01323295287353271,0.0916172544588758,592,0.005209715763196106,0.06870545990684851,11,566
9733,cg14036584,1065.0,4,48702085.0,FRYL,0.0,0.0,0.0,3382,0.0,0.05701729931195035,12,40827
12130,cg17932405,1348.0,5,161300058.0,GABRA1,0.0,0.0,0.0,3382,0.0,0.05365574793461216,13,193957
39229,cg16457059,4184.0,21,44588272.0,CRYAA,0.0,0.0,0.0,3382,0.0,0.05327735604475481,14,475
39230,cg10196650,4184.0,21,44588747.0,CRYAA,0.0,0.0,0.0,3382,0.0,0.05138712199503835,15,1632
36384,cg09456184,3839.0,19,8509335.0,HNRNPM,0.0,0.0,0.04848488742692779,1150,0.0,0.04590086113859265,16,4588
20086,cg01549377,2157.0,9,140215404.0,EXD3,0.0,0.0,0.0,3382,0.0,0.04535287276455063,17,36107
1381,cg17717442,136.0,1,38218194.0,EPHA10,0.0,0.0,0.04633462473015987,1200,0.00415893439673688,0.04448219055553038,18,1561
22982,cg08545854,2427.0,11,41481164.0,LRRC4C,0.0,0.0,0.0,3382,0.0,0.04339948271834643,19,2120805
39231,cg06452779,4184.0,21,44590379.0,CRYAA,0.0,0.0,0.0,3382,0.0,0.04261949427509237,20,634
7088,cg09671122,786.0,3,28291744.0,CMC1,0.0,0.0,0.0,3382,0.0,0.04096567427843189,21,1030730
4545,cg18158151,498.0,2,61372256.0,C2orf74,0.0,0.0,0.0,3382,0.0,0.04088636226778579,22,65349
39232,cg05809947,4184.0,21,44591013.0,CRYAA,0.0,0.0,0.0,3382,0.0,0.04064697042996002,23,1361
27272,cg10389399,2894.0,13,78518703.0,EDNRB,0.004523438209110678,0.01960186825303314,0.03299933753233061,1573,0.0,0.04027152691465249,24,656108
25978,cg17015844,2763.0,12,103352694.0,ASCL1,0.0,0.0,0.0,3382,0.0,0.04010168289444993,25,311022
4543,cg05037927,498.0,2,61372117.0,C2orf74,0.0,0.0,0.0,3382,0.0,0.03896926443299804,26,48
5661,cg05660179,627.0,2,170218690.0,LRP2,0.0,0.0,0.0,3382,0.0,0.03880585389840921,27,873853
26558,cg15355713,2821.0,12,125431744.0,DHX37,0.0,0.0,0.0,3382,0.0,0.03830554929431035,28,13949
13815,cg17217665,1518.0,6,44186914.0,SLC29A1,0.0,0.0,0.0,3382,0.0,0.0375004616791819,29,55
8,cg20961824,1.0,1,1046086.0,C1orf159,0.0,0.0,0.2840174471723313,136,0.0,0.03715744783307093,30,4493
5660,cg02361027,627.0,2,170217401.0,LRP2,0.0,0.0,0.0,3382,0.0,0.03708167240137362,31,1289
39234,cg21549497,4184.0,21,44592641.0,CRYAA,0.0,0.0,0.0,3382,0.0,0.03641050422278065,32,392451
758,cg21601498,68.0,1,16678847.0,FBXO42,0.0,0.0,0.5373041151517883,20,0.0,0.03622525414902839,33,541
26559,cg04226314,2821.0,12,125445693.0,DHX37,0.0,0.0,0.0,3382,0.0,0.03621793590596455,34,8609
37818,cg14497670,4031.0,20,22565238.0,FOXA2,0.0,0.0,0.0,3382,0.0,0.03594876622044092,35,2
4542,cg01648237,498.0,2,61372066.0,C2orf74,0.0,0.0,0.0,3382,0.0,0.03564195635508655,36,51
37775,cg00954162,4025.0,20,20284520.0,CFAP61,0.0,0.0,0.0,3382,0.0,0.03540128272184135,37,106941
32920,cg06931941,3480.0,17,7486770.0,MPDU1,0.0,0.0,0.0,3382,0.0,0.03517208642693106,38,88
37819,cg06697267,4031.0,20,22565240.0,FOXA2,0.0,0.0,0.0,3382,0.0,0.03508820112708295,39,900
32922,cg07451297,3480.0,17,7486874.0,MPDU1,0.0,0.0,0.0,3382,0.0,0.03506090844297075,40,132581
32921,cg13546736,3480.0,17,7486858.0,MPDU1,0.0,0.0,0.0,3382,0.0,0.03485730639197064,41,16
9581,cg26351451,1052.0,4,37248861.0,KIAA1239,0.0,0.0,0.0,3382,0.0,0.03464091824784792,42,205636
35979,cg23706615,3789.0,19,1287884.0,EFNA2,0.0,0.0,0.0,3382,0.0,0.03463204126312679,43,1299
36385,cg01482790,3839.0,19,8513923.0,HNRNPM,0.0,0.0,0.0,3382,0.0,0.03426099212484991,44,7712
31379,cg00506913,3335.0,16,31471204.0,ARMC5,0.0,0.0,0.0,3382,0.0,0.03423348131493975,45,15275420
39233,cg10707964,4184.0,21,44592374.0,CRYAA,0.0245191112941274,0.01436615118996675,0.0,3382,0.05050502149888989,0.03416481825476667,46,267
35976,cg11885098,3789.0,19,1285397.0,EFNA2,0.0,0.0,0.0,3382,0.0,0.03414391003923495,47,2031
19274,cg08220332,2066.0,9,91726021.0,SHC3,0.0,0.0,0.0,3382,0.0,0.03391310108393081,48,43290
32129,cg03892543,3410.0,16,84650330.0,COTL1,0.0,0.0,0.0,3382,0.0,0.0334795993435933,49,2099
7983,cg17215468,883.0,3,111652058.0,PHLDB2,0.0,0.0,0.0,3382,0.0,0.03325061872362929,50,28738
19273,cg27542392,2066.0,9,91724273.0,SHC3,0.0,0.0,0.0,3382,0.0,0.03323404606468831,51,1748
37774,cg03886075,4025.0,20,20253505.0,CFAP61,0.0,0.0,0.0,3382,0.0,0.03323349462306428,52,31015
1976,cg02281400,193.0,1,76720689.0,ST6GALNAC3,0.0,0.0,0.0,3382,0.0,0.03315377332019056,53,14330
19272,cg13929065,2066.0,9,91711047.0,SHC3,0.0,0.0,0.0,3382,0.0,0.03298462289100845,54,13226
35977,cg09487101,3789.0,19,1287428.0,EFNA2,0.0,0.0,7.921088456048371e-06,3369,0.0,0.03289570109099416,55,404
629,cg04506109,56.0,1,12123934.0,TNFRSF8,0.0,0.0,0.0,3382,0.0,0.03249544760430843,56,2
37771,cg21986657,4025.0,20,20192278.0,CFAP61,0.0,0.0,0.0,3382,0.0,0.03237469659375489,57,13928
37772,cg14660762,4025.0,20,20206206.0,CFAP61,0.0,0.0,0.0,3382,0.0,0.03234915136687796,58,37507
37770,cg10614370,4025.0,20,20188812.0,CFAP61,0.0,0.0,0.0,3382,0.0,0.03231762361109317,59,3466
13818,cg13793145,1518.0,6,44187109.0,SLC29A1,0.0,0.0,0.0,3382,0.0,0.0322771968129223,60,3166
4544,cg19790321,498.0,2,61372165.0,C2orf74,0.0,0.0,0.0,3382,0.0,0.03226573172884571,61,91
22436,cg18769855,2374.0,11,7489206.0,SYT9,0.1050479245428999,0.1058191670192719,0.0,3382,0.0,0.0321937281578568,62,45471
32919,cg05086567,3480.0,17,7486615.0,MPDU1,0.0,0.0,0.0,3382,0.0,0.03210855616088596,63,155
19259,cg19249814,2063.0,9,90257654.0,DAPK1,0.0,0.0,0.0,3382,0.0,0.03208814056653838,64,24316
37773,cg10469383,4025.0,20,20243713.0,CFAP61,0.0,0.0,0.0,3382,0.0,0.03193828569249414,65,9792
13816,cg04742345,1518.0,6,44186969.0,SLC29A1,0.0,0.0,0.0,3382,0.0,0.03184990798154892,66,83
28428,cg25299227,3021.0,14,76940165.0,ESRRB,0.0,0.0,0.0402842355433905,1355,0.0,0.03168779394748947,67,287380
3564,cg15527134,393.0,1,230527578.0,PGBD5,0.0,0.0,0.0,3382,0.0,0.03161837602500437,68,896
7984,cg07403016,883.0,3,111680796.0,PHLDB2,0.0,0.0,0.0,3382,0.0,0.03148209641831803,69,511255
26560,cg24120049,2821.0,12,125454302.0,DHX37,0.0,0.0,0.0,3382,0.0,0.03146408265859958,70,16468
13814,cg27593649,1518.0,6,44186154.0,SLC29A1,0.0,0.0,0.0,3382,0.0,0.03137986404292539,71,760
3560,cg20967887,393.0,1,230459114.0,PGBD5,0.0,0.0,0.0,3382,0.0,0.03133999603893355,72,23067
630,cg16305333,56.0,1,12123936.0,TNFRSF8,0.0,0.0,0.08484114614525883,641,0.0,0.03126553181287561,73,4891
1978,cg11282105,193.0,1,76745328.0,ST6GALNAC3,0.0,0.0,0.0,3382,0.0,0.03110554756891078,74,14994
1980,cg09091433,193.0,1,76796810.0,ST6GALNAC3,0.0,0.0,0.0,3382,0.0,0.03106700302481661,75,949761
5659,cg01345320,627.0,2,170114785.0,LRP2,0.0,0.0,0.0,3382,0.0,0.03094925185669782,76,102616
22949,cg16530738,2424.0,11,35807359.0,TRIM44,0.0,0.0,0.0,3382,0.0,0.03072050406764174,77,15351
1979,cg25001923,193.0,1,76760322.0,ST6GALNAC3,0.0,0.0,0.0,3382,0.0,0.03069941939079033,78,36488
17346,cg09087222,1857.0,8,11720363.0,CTSB,0.0,0.0,0.009631403149477252,2743,0.0,0.03066065917174987,79,3453
36481,cg05022378,3852.0,19,12606767.0,ZNF709,0.0,0.0,0.0,3382,0.0,0.03065940188484708,80,17699
25736,cg06092729,2731.0,12,64845451.0,TBK1,0.0,0.0,0.0,3382,0.0,0.03065232872694946,81,1737
232,cg17163527,22.0,1,3447348.0,MEGF6,0.0,0.0,0.02789775198992778,1771,0.0,0.03051432126984115,82,29820
37817,cg25218716,4031.0,20,22565228.0,FOXA2,0.0,0.0,0.0,3382,0.0,0.03040489074311612,83,10
15041,cg03888115,1642.0,7,2283790.0,NUDT1,0.0,0.0,0.0,3382,0.0,0.03013804446496842,84,4926
36362,cg10276461,3836.0,19,7794550.0,CLEC4G,0.0,0.0,0.0,3382,0.01285175064809,0.03002890804044288,85,642
21272,cg23733123,2269.0,10,99472988.0,MARVELD1,0.0,0.0,0.0,3382,0.0,0.02994252287189916,86,97
35978,cg15998406,3789.0,19,1287832.0,EFNA2,0.002205426790086726,0.003451862552764556,0.0005515402695317536,3295,0.0,0.02987134033621714,87,52
36386,cg20257761,3839.0,19,8521635.0,HNRNPM,0.0,0.0,0.004685897771973313,3037,0.0,0.02980178026433563,88,18707
35980,cg13595790,3789.0,19,1289183.0,EFNA2,0.0,0.0,0.0,3382,0.0,0.02974367302227238,89,1289
29500,cg07869121,3131.0,15,45493557.0,SHF,0.0,0.0,0.0,3382,0.0,0.02972873017968688,90,433071
1977,cg26450953,193.0,1,76735019.0,ST6GALNAC3,0.0,0.0,0.0,3382,0.0,0.02958959778166554,91,10309
3559,cg05266497,393.0,1,230457961.0,PGBD5,0.0,0.0,0.0,3382,0.0,0.02956640537238448,92,1153
32126,cg19853386,3410.0,16,84627824.0,COTL1,0.0,0.0,0.0,3382,0.0,0.029566111270185,93,9123
21271,cg15711987,2268.0,10,99393886.0,MORN4,0.0,0.0,0.0,3382,0.0,0.02955268060307519,94,79102
37816,cg14042504,4031.0,20,22564325.0,FOXA2,0.0,0.0,0.0,3382,0.0,0.02941625639614076,95,903
27820,cg14370314,2948.0,14,23834891.0,EFS,0.0,0.0,0.0,3382,0.0,0.0293898729779953,96,18
21274,cg06616710,2269.0,10,99473224.0,MARVELD1,0.0,0.0,0.0,3382,0.0,0.02938739026526131,97,1589
229,cg10331884,22.0,1,3421598.0,MEGF6,0.0,0.0,0.4845934766453708,34,0.0,0.029263276686227,98,4638
39636,cg16442226,4229.0,22,29702854.0,GAS2L1,0.0,0.0,0.0,3382,0.0,0.02917293339224854,99,326
5658,cg17642736,627.0,2,170039085.0,LRP2,0.0,0.0,0.0,3382,0.0,0.02914385893897779,100,75700
30087,cg01566472,3198.0,15,75641171.0,NEIL1,0.0,0.0,0.0,3382,0.0,0.02911370120927227,101,119652
35975,cg23650249,3789.0,19,1284764.0,EFNA2,0.0,0.0,0.0,3382,0.0,0.02907468610165892,102,633
38656,cg10213353,4123.0,20,60860905.0,OSBPL2,0.0,0.0,0.02832266475597135,1751,0.0,0.02896054013633548,103,105322
8055,cg20356878,892.0,3,121714668.0,ILDR1,0.009481584887533749,0.006924200814062263,0.05910215470538915,932,0.0,0.02854552517008727,104,3212
36830,cg22062383,3897.0,19,33470852.0,RHPN2,0.0,0.0,0.0,3382,0.0,0.02852175926151722,105,43011
12894,cg26913196,1419.0,6,20418471.0,E2F3,0.0,0.0,0.0,3382,0.0,0.02851623749272189,106,18405
29650,cg25782651,3150.0,15,57797614.0,CGNL1,0.0,0.0,0.0,3382,0.0,0.02840938526194568,107,458893
