fea_ind,fea_name,group,CHR,MAPINFO,gene_set,Lasso,ENet,SGLasso,CDReg,rank,diff_loc
46807,cg15941945,1279,17,21319222,KCNJ12,0.0,0.0,0.0,1.0,1,3335
46808,cg11344013,1279,17,21322557,KCNJ12,0.0,0.0,0.0,0.9306036576411716,2,4475645
37172,cg02793415,1003,12,5021087,KCNA1,0.0,0.0,0.0,0.9044708582315752,3,20
37174,cg15027358,1003,12,5021463,KCNA1,0.0,0.0,0.0,0.8983920159951201,4,122
37177,cg22669120,1003,12,5024586,KCNA1,0.0,0.0,0.0,0.8539279918367654,5,515366
37175,cg13331526,1003,12,5021585,KCNA1,0.0,0.0,0.0,0.8531968872020212,6,286
37169,cg16907029,1003,12,5020169,KCNA1,0.0,0.0,0.0,0.852029738573166,7,33
37171,cg08832227,1003,12,5020693,KCNA1,0.0,0.0,0.0,0.8481842168679236,8,394
33717,cg01923099,909,11,2889875,KCNQ1DN,0.0,0.0,0.0,0.8459007797997597,9,207
46806,cg08999764,1279,17,21318603,KCNJ12,0.0,0.0,0.0,0.842192363158509,10,619
37173,cg04458985,1003,12,5021107,KCNA1,0.0,0.0,0.0,0.8232171164352872,11,356
37176,cg12440751,1003,12,5021871,KCNA1,0.0,0.0,0.0,0.8231628956890741,12,2715
37170,cg26590537,1003,12,5020202,KCNA1,0.0,0.0,0.0,0.744786948238014,13,491
23610,cg27598340,667,7,55145727,EGFR,0.0,0.0,0.0,0.7283819813917412,14,646
23609,cg20773588,667,7,55134101,EGFR,0.0,0.0,0.0,0.7128529243432324,15,11626
23606,cg26055062,667,7,55090516,EGFR,0.0,0.0,0.0,0.6720790455642535,16,10092
23607,cg06052090,667,7,55100608,EGFR,0.0,0.0,0.0,0.6711527180031703,17,20793
46805,cg09488184,1279,17,21317998,KCNJ12,0.0,0.0,0.0,0.6653412988880981,18,605
23608,cg17319788,667,7,55121401,EGFR,0.0,0.0,0.0,0.6636245627511004,19,12700
16621,cg03854238,490,6,22071933,FLJ22536,0.0,0.0,0.0,0.6528293627932721,20,27734
