Lasso,ENet,SGLasso,Pclogit,DMP,CDReg
chr20:4908316,chr20:4908316,chr20:88080,chr20:4507862,chr20:4518186,chr20:38754057
chr20:8655277,chr20:8655277,chr20:88449,chr20:4510160,chr20:6516185,chr20:50555704
chr20:9090039,chr20:9090039,chr20:90640,chr20:9681894,chr20:7088573,chr20:50555991
chr20:9365542,chr20:9365542,chr20:91352,chr20:9834395,chr20:7088653,chr20:53606131
chr20:9374121,chr20:9374121,chr20:91832,chr20:13411766,chr20:7088658,chr20:58744254
chr20:13771213,chr20:13771213,chr20:92263,chr20:13411794,chr20:7143427,chr20:58744565
chr20:18000453,chr20:18000453,chr20:92613,chr20:16487652,chr20:7154412,chr20:58746183
chr20:21385798,chr20:21385798,chr20:92643,chr20:17241267,chr20:7159638,chr20:58746192
chr20:32507959,chr20:32507959,chr20:92869,chr20:17245674,chr20:7177605,chr20:58746277
chr20:34221334,chr20:34221334,chr20:94281,chr20:31386020,chr20:7209329,chr20:58748670
chr20:35063480,chr20:35063480,chr20:332541,chr20:34754090,chr20:7250815,chr20:58749086
chr20:36023683,chr20:36023683,chr20:340024,chr20:43460531,chr20:7350921,chr20:58749141
chr20:46072292,chr20:46072292,chr20:340453,chr20:55451803,chr20:9653049,chr20:58749785
chr20:47523748,chr20:47523748,chr20:412390,chr20:58402386,chr20:9748949,chr20:58750320
chr20:64008608,chr20:64008608,chr20:454413,chr20:59703491,chr20:11827350,chr20:58750380
